player,team,current_team
DeAndre Jordan,BKN,BKN
Cory Joseph,SAC,SAC
Mfiondu Kabengele,LAC,LAC
Frank Kaminsky,PHX,PHX
Enes Kanter,POR,POR
Luke Kennard,LAC,LAC
Maxi Kleber,DAL,DAL
Nathan Knight,ATL,ATL
Kevin Knox,NYK,NA
John Konchar,MEM,MEM
Furkan Korkmaz,PHI,PHI
Luke Kornet,CHI,CHI
Rodions Kurucs,HOU,HOU
Kyle Kuzma,LAL,LAL
Jeremy Lamb,IND,IND
Zach LaVine,CHI,CHI
Jake Layman,MIN,MIN
Jalen Lecque,IND,IND
Damion Lee,GSW,GSW
Saben Lee,DET,DET
Alex Len,WAS,WAS
Kawhi Leonard,LAC,LAC
Meyers Leonard,MIA,MIA
Caris LeVert,IND,IND
Kira Lewis Jr.,NOP,NOP
Damian Lillard,POR,POR
Nassir Little,POR,POR
Kevon Looney,GSW,GSW
Brook Lopez,MIL,MIL
Robin Lopez,WAS,WAS
Kevin Love,CLE,CLE
Kyle Lowry,TOR,TOR
Timothé Luwawu-Cabarrot,BRK,NA
Trey Lyles,SAS,SAS
Thon Maker,CLE,NA
Théo Maledon,OKC,NA
Karim Mané,ORL,NA
Terance Mann,LAC,LAC
Nico Mannion,GSW,GSW
Boban Marjanović,DAL,NA
Lauri Markkanen,CHI,CHI
Naji Marshall,NOP,NOP
Caleb Martin,CHA,CHA
Cody Martin,CHA,CHA
Kelan Martin,IND,IND
Kenyon Martin Jr.,HOU,HOU
Frank Mason III,ORL,NA
Garrison Mathews,WAS,WAS
Dakota Mathias,PHI,NA
Wesley Matthews,LAL,LAL
Tyrese Maxey,PHI,PHI
Skylar Mays,ATL,ATL
Patrick McCaw,TOR,TOR
CJ McCollum,POR,POR
T.J. McConnell,IND,IND
Jaden McDaniels,MIN,MIN
Jalen McDaniels,CHA,CHA
Doug McDermott,IND,IND
Sean McDermott,MEM,MEM
JaVale McGee,CLE,CLE
Rodney McGruder,DET,DET
Alfonzo McKinnie,LAL,LAL
Jordan McLaughlin,MIN,MIN
Ben McLemore,HOU,HOU
Nicolò Melli,NOP,NA
De'Anthony Melton,MEM,MEM
Sam Merrill,MIL,MIL
Chimezie Metu,SAC,SAC
Khris Middleton,MIL,MIL
Darius Miller,OKC,OKC
Patty Mills,SAS,SAS
Paul Millsap,DEN,DEN
Shake Milton,PHI,PHI
Donovan Mitchell,UTA,UTA
Adam Mokoka,CHI,CHI
Malik Monk,CHA,CHA
E'Twaun Moore,PHX,PHX
Ja Morant,MEM,MEM
Juwan Morgan,UTA,UTA
Marcus Morris,LAC,NA
Markieff Morris,LAL,LAL
Monte Morris,DEN,DEN
Mychal Mulder,GSW,GSW
Dejounte Murray,SAS,SAS
Jamal Murray,DEN,DEN
Mike Muscala,OKC,OKC
Sviatoslav Mykhailiuk,DET,NA
Abdel Nader,PHX,PHX
Larry Nance Jr.,CLE,CLE
Aaron Nesmith,BOS,BOS
Raul Neto,WAS,WAS
Georges Niang,UTA,UTA
Zeke Nnaji,DEN,DEN
Nerlens Noel,NYK,NYK
Jaylen Nowell,MIN,MIN
Frank Ntilikina,NYK,NYK
Kendrick Nunn,MIA,MIA
Jusuf Nurkić,POR,NA
David Nwaba,HOU,HOU
Jordan Nwora,MIL,MIL
Royce O'Neale,UTA,UTA
Semi Ojeleye,BOS,BOS
Jahlil Okafor,DET,DET
Chuma Okeke,ORL,ORL
Josh Okogie,MIN,MIN
Onyeka Okongwu,ATL,ATL
Isaac Okoro,CLE,CLE
KZ Okpala,MIA,MIA
Victor Oladipo,HOU,HOU
Kelly Olynyk,MIA,MIA
Miye Oni,UTA,UTA
Cedi Osman,CLE,CLE
Daniel Oturu,LAC,LAC
Kelly Oubre Jr.,GSW,GSW
Jabari Parker,SAC,SAC
Eric Paschall,GSW,GSW
Anžejs Pasečņiks,WAS,NA
Patrick Patterson,LAC,LAC
Justin Patton,HOU,HOU
Chris Paul,PHX,PHX
Cameron Payne,PHX,PHX
Elfrid Payton,NYK,NYK
Norvel Pelle,SAC,SAC
Reggie Perry,BKN,BKN
Theo Pinson,NYK,NYK
Mason Plumlee,DET,DET
Jakob Poeltl,SAS,SAS
Vincent Poirier,PHI,PHI
Aleksej Pokusevski,OKC,OKC
Jordan Poole,GSW,GSW
Michael Porter Jr.,DEN,DEN
Otto Porter,CHI,NA
Bobby Portis,MIL,MIL
Kristaps Porziņģis,DAL,NA
Dwight Powell,DAL,DAL
Norman Powell,TOR,TOR
Taurean Prince,CLE,CLE
Payton Pritchard,BOS,BOS
Immanuel Quickley,NYK,NYK
Jahmi'us Ramsey,SAC,SAC
Chasson Randle,ORL,ORL
Julius Randle,NYK,NYK
Cam Reddish,ATL,ATL
J.J. Redick,NOP,NA
Paul Reed,PHI,PHI
Naz Reid,MIN,MIN
Nick Richards,CHA,CHA
Josh Richardson,DAL,DAL
Austin Rivers,NYK,NYK
Andre Roberson,BKN,BKN
Duncan Robinson,MIA,MIA
Glenn Robinson III,SAC,NA
Jerome Robinson,WAS,WAS
Mitchell Robinson,NYK,NYK
Isaiah Roby,OKC,OKC
Rajon Rondo,ATL,ATL
Derrick Rose,NYK,NYK
Terrence Ross,ORL,ORL
Terry Rozier,CHA,CHA
Ricky Rubio,MIN,MIN
D'Angelo Russell,MIN,MIN
Domantas Sabonis,IND,IND
Luka Šamanić,SAS,NA
JaKarr Sampson,IND,IND
Dario Šarić,PHO,NA
Tomáš Satoranský,CHI,NA
Dennis Schröder,LAL,NA
Mike Scott,PHI,PHI
Collin Sexton,CLE,CLE
Landry Shamet,BKN,BKN
Iman Shumpert,BKN,BKN
Pascal Siakam,TOR,TOR
Chris Silva,MIA,MIA
Ben Simmons,PHI,PHI
Anfernee Simons,POR,POR
Deividas Sirvydis,DET,DET
Marcus Smart,BOS,BOS
Dennis Smith Jr.,DET,DET
Ish Smith,WAS,WAS
Jalen Smith,PHX,PHX
Tony Snell,ATL,ATL
Ray Spalding,HOU,NA
Cassius Stanley,IND,IND
Lamar Stevens,CLE,CLE
Isaiah Stewart,DET,DET
Max Strus,MIA,MIA
Edmond Sumner,IND,IND
Jae'Sean Tate,HOU,HOU
Jayson Tatum,BOS,BOS
Jeff Teague,BOS,BOS
Garrett Temple,CHI,CHI
Tyrell Terry,DAL,DAL
Daniel Theis,BOS,BOS
Brodric Thomas,CLE,CLE
Matt Thomas,TOR,TOR
Tristan Thompson,BOS,BOS
Sindarius Thornwell,NOP,NOP
Matisse Thybulle,PHI,PHI
Killian Tillie,MEM,MEM
Xavier Tillman Sr.,MEM,NA
Obi Toppin,NYK,NYK
Juan Toscano-Anderson,GSW,GSW
Karl-Anthony Towns,MIN,MIN
Gary Trent Jr.,POR,POR
P.J. Tucker,HOU,HOU
Myles Turner,IND,IND
Jonas Valančiūnas,MEM,NA
Denzel Valentine,CHI,CHI
Jarred Vanderbilt,MIN,MIN
Fred VanVleet,TOR,TOR
Devin Vassell,SAS,SAS
Gabe Vincent,MIA,MIA
Noah Vonleh,BRK,NA
Nikola Vučević,ORL,NA
Dean Wade,CLE,CLE
Moritz Wagner,WAS,WAS
Kemba Walker,BOS,BOS
Lonnie Walker,SAS,NA
John Wall,HOU,HOU
Brad Wanamaker,GSW,GSW
T.J. Warren,IND,IND
P.J. Washington,CHA,CHA
Yuta Watanabe,TOR,TOR
Tremont Waters,BOS,BOS
Paul Watson,TOR,TOR
Quinndary Weatherspoon,SAS,SAS
Russell Westbrook,WAS,WAS
Coby White,CHI,CHI
Derrick White,SAS,SAS
Hassan Whiteside,SAC,SAC
Greg Whittington,DEN,DEN
Andrew Wiggins,GSW,GSW
Grant Williams,BOS,BOS
Kenrich Williams,OKC,OKC
Lou Williams,LAC,LAC
Patrick Williams,CHI,CHI
Robert Williams,BOS,NA
Zion Williamson,NOP,NOP
D.J. Wilson,MIL,MIL
Dylan Windler,CLE,CLE
Justise Winslow,MEM,MEM
Cassius Winston,WAS,WAS
James Wiseman,GSW,GSW
Christian Wood,HOU,HOU
Robert Woodard,SAC,NA
Delon Wright,DET,DET
Thaddeus Young,CHI,CHI
Trae Young,ATL,ATL
Cody Zeller,CHA,CHA
Ivica Zubac,LAC,LAC
